field,type
CDMC318_1_DIFF_CDMC322_6,numeric
CDMC291_1_DIFF_CDMC293_6,numeric
CDMC290_1_DIFF_CDMC294_6,numeric
CDMC332_1_DIFF_CDMC333_6,numeric
CDMC330_1_DIFF_CDMC331_6,numeric
CDMC114_1_DIFF_CDMC115_6,numeric
CDMC192_1_DIFF_CDMC193_6,numeric
CDMC190_1_DIFF_CDMC191_6,numeric
CDMC152_1_DIFF_CDMC153_12,numeric
CDMC150_1_DIFF_CDMC151_12,numeric
CDMC020_1_DIFF_CDMC021_3,numeric
CDMC018_1_DIFF_CDMC019_3,numeric
CDMC261_1_DIFF_CDMC262_6,numeric
CDMC037_1_DIFF_CDMC038_6,numeric
CDMC038_6_DIFF_CDMC039_12,numeric
CDMC034_1_DIFF_CDMC035_6,numeric
CDMC035_6_DIFF_CDMC036_12,numeric
CDMC087_1_DIFF_CDMC088_6,numeric
CDMC088_6_DIFF_CDMC089_12,numeric
CDMC084_1_DIFF_CDMC085_6,numeric
CDMC085_6_DIFF_CDMC086_12,numeric
CDMC209_1_DIFF_CDMC210_6,numeric
CDMC210_6_DIFF_CDMC211_12,numeric
CDMC206_1_DIFF_CDMC207_6,numeric
CDMC207_6_DIFF_CDMC208_12,numeric
CDMC065_1_DIFF_CDMC066_6,numeric
CDMC066_6_DIFF_CDMC067_12,numeric
CDMC062_1_DIFF_CDMC063_6,numeric
CDMC063_6_DIFF_CDMC064_12,numeric
CDMC004_1_DIFF_CDMC005_6,numeric
CDMC005_6_DIFF_CDMC006_12,numeric
CDMC001_1_DIFF_CDMC002_6,numeric
CDMC002_6_DIFF_CDMC003_12,numeric
CDMC007_1_DIFF_CDMC008_6,numeric
CDMC008_6_DIFF_CDMC009_12,numeric
CDMC102_1_DIFF_CDMC103_6,numeric
CDMC103_6_DIFF_CDMC104_12,numeric
CDMC163_1_DIFF_CDMC164_6,numeric
CDMC164_6_DIFF_CDMC165_12,numeric
CDMC160_1_DIFF_CDMC161_6,numeric
CDMC161_6_DIFF_CDMC162_12,numeric
CDMC215_1_DIFF_CDMC216_6,numeric
CDMC216_6_DIFF_CDMC217_12,numeric
CDMC212_1_DIFF_CDMC213_6,numeric
CDMC213_6_DIFF_CDMC214_12,numeric
CDMC135_1_DIFF_CDMC136_6,numeric
CDMC136_6_DIFF_CDMC137_12,numeric
CDMC132_1_DIFF_CDMC133_6,numeric
CDMC133_6_DIFF_CDMC134_12,numeric
CDMC141_1_DIFF_CDMC142_6,numeric
CDMC142_6_DIFF_CDMC143_12,numeric
CDMC138_1_DIFF_CDMC139_6,numeric
CDMC139_6_DIFF_CDMC140_12,numeric
CDMC147_1_DIFF_CDMC148_6,numeric
CDMC148_6_DIFF_CDMC149_12,numeric
CDMC144_1_DIFF_CDMC145_6,numeric
CDMC145_6_DIFF_CDMC146_12,numeric
CDMC247_1_DIFF_CDMC248_6,numeric
CDMC248_6_DIFF_CDMC249_12,numeric
CDMC071_1_DIFF_CDMC072_6,numeric
CDMC072_6_DIFF_CDMC073_12,numeric
CDMC068_1_DIFF_CDMC069_6,numeric
CDMC069_6_DIFF_CDMC070_12,numeric
CDMC169_1_DIFF_CDMC170_6,numeric
CDMC170_6_DIFF_CDMC171_12,numeric
